step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
64;0;285378792;64;1;72;72;10.55;0.38;51.17;10.04;8;0;0;279.00;0
64;0;285378793;64;1;72;72;10.98;0.40;51.17;10.04;8;0;0;280.00;0
64;0;285378794;64;2;72;72;11.56;0.42;51.17;10.04;8;0;0;281.00;0
65;0;285378794;65;2;72;72;10.41;0.37;50.66;10.04;7;0;0;282.00;0
65;0;285378795;65;2;72;72;10.83;0.39;50.66;10.04;7;0;0;283.00;0
65;0;285378796;65;2;72;72;11.34;0.41;50.66;10.04;7;0;0;284.00;0
65;0;285378798;65;2;72;72;11.52;0.43;50.66;10.04;7;0;0;285.00;0
65;0;285378798;65;2;72;72;11.25;0.42;50.66;10.04;7;0;0;286.00;0
65;0;285378799;65;2;72;72;11.01;0.41;50.66;10.04;7;0;0;287.00;0
65;0;285378799;65;2;72;72;10.61;0.40;50.66;10.04;7;0;0;288.00;0
65;0;285378799;65;2;72;72;9.71;0.37;50.66;10.04;7;0;0;289.00;0
65;0;285378800;65;0;72;72;9.88;0.37;50.66;10.04;7;0;0;290.00;0
65;0;285378800;65;0;72;72;10.10;0.38;50.66;10.04;7;0;0;291.00;0
65;0;285378800;65;0;72;72;10.58;0.40;50.66;10.04;7;0;0;292.00;0
65;0;285378801;65;0;72;72;10.77;0.41;50.66;10.04;7;0;0;293.00;0
66;0;285378801;66;0;72;72;8.88;0.34;50.62;10.04;6;0;0;294.00;0
67;0;285378801;67;1;72;72;7.98;0.29;50.28;10.04;5;0;0;295.00;0
67;0;285378802;67;0;72;72;9.05;0.33;50.28;10.04;5;0;0;296.00;0
67;0;285378802;67;0;72;72;10.21;0.37;50.28;10.04;5;0;0;297.00;0
67;0;285378802;67;0;72;72;11.24;0.40;50.28;10.04;5;0;0;298.00;0
67;0;285378803;67;0;72;72;12.08;0.43;50.28;10.04;5;0;0;299.00;0
67;0;285378805;67;1;73;73;10.92;0.39;50.28;9.90;6;0;0;300.00;0
67;0;285378806;67;0;73;73;11.86;0.43;50.28;9.90;6;0;0;301.00;0
